,Address,Locality,Price,Area,Beds,Full Baths,Half Baths,Lot Size
0,0 Gateway,"Rock Springs, WY 82901","$725,000",None,None,None,None,
1,1003 Winchester Blvd.,"Rock Springs, WY 82901","$452,900",4,4,None,None,0.21 Acres
2,600 Talladega,"Rock Springs, WY 82901","$396,900",3,5,"3,154",None,
3,3239 Spearhead Way,"Rock Springs, WY 82901","$389,900",3,4,"3,076",1,"Under 1/2 Acre, "
4,522 Emerald Street,"Rock Springs, WY 82901","$254,000",3,3,"1,172",None,"Under 1/2 Acre, "
5,1302 Veteran's Drive,"Rock Springs, WY 82901","$252,900",2,4,"1,932",None,0.27 Acres
6,1021 Cypress Cir,"Rock Springs, WY 82901","$210,000",3,4,"1,676",None,"Under 1/2 Acre, "
7,913 Madison Dr,"Rock Springs, WY 82901","$209,000",2,3,"1,344",None,"Under 1/2 Acre, "
8,1344 Teton Street,"Rock Springs, WY 82901","$199,900",2,3,"1,920",None,"Under 1/2 Acre, "
9,4 Minnies Lane,"Rock Springs, WY 82901","$196,900",2,3,"1,664",None,2.02 Acres
10,9339 Sd 26900,"Rocksprings, TX 78880","$1,700,000",None,None,"2,560",None,
11,RR674P13 Hwy 377,"Rocksprings, TX 78880","$1,100,000",None,None,"2,000",None,
12,0 Hwy 41,"Rocksprings, TX 78880","$1,080,000",None,None,None,None,
13,9339 Sd 26900,"Rocksprings, TX 78880","$908,350",None,None,"2,560",None,
14,CR450 Hwy 377,"Rocksprings, TX 78880","$905,000",None,None,None,None,
15,Cr 240 Cr 240,"Rocksprings, TX 78880","$695,000",None,None,"1,398",None,
16,RR674 Hwy 377,"Rocksprings, TX 78880","$605,000",None,None,"1,738",None,
17,9770a Sd 26900,"Rocksprings, TX 78880","$559,805",None,None,"1,080",None,
18,Lot17 CR 2630,"Rocksprings, TX 78880","$504,000",None,None,None,None,
19,"Tr12,16 CR 520","Rocksprings, TX 78880","$410,000",None,None,None,None,
20,32575 S Shadow Mountain Road,"Black Canyon City, AZ 85324","$299,900",2,3,"2,318",None,
21,32750 S Shangrila Drive,"Black Canyon City, AZ 85324","$167,500",2,3,"2,120",None,
22,0000 Black Canyon Highway,"Black Canyon City, AZ 85324","$150,000",None,None,None,None,5 Acres
23,34775 S CHOLLA Drive,"Black Canyon City, AZ 85324","$129,500",2,3,"1,220",None,
24,33403 S. HA-WA-SI TERRACE,"BLACK CANYON CITY, AZ 85324","$129,000",2,4,"2,000",None,
25,34263 S Bertha Street,"Black Canyon City, AZ 85324","$80,000",2,5,"2,260",None,
26,33160 S Canyon Road,"Black Canyon City, AZ 85324","$77,900",2,3,"1,248",None,
27,19421 E Todd Evans Road,"Black Canyon City, AZ 85324","$70,500",2,3,"1,404",None,
28,18688 E AGUA Vista,"Black Canyon City, AZ 85324","$70,000",None,None,None,None,0.7 Acres
29,50600 N Old Black Canyon Road,"Black Canyon City, AZ 85324","$67,500",None,None,None,None,3 Acres
30,20101 E SQUAW VALLEY Road,"Black Canyon City, AZ 85324","$54,900",None,None,None,None,
31,33259 S Canyon Road,"Black Canyon City, AZ 85324","$45,600",1,3,"1,056",None,
32,34558 S ROADRUNNER RD,"Black Canyon City, AZ 85324","$40,000",1,2,784,None,Under 1/2 Acre
33,19260 E Scenic Loop Road,"Black Canyon City, AZ 85324","$30,000",None,None,None,None,2.35 Acres
34,19000 E MAREN Avenue,"Black Canyon City, AZ 85324","$29,000",None,None,None,None,2.05 Acres
35,19350 E SAGUARO Drive,"Black Canyon City, AZ 85324","$28,995",None,None,None,None,0.73 Acres
36,20650 E Amethyst Place,"Black Canyon City, AZ 85324","$15,000",None,None,None,None,0.31 Acres
