Name,Ticker,<date>,<open>,<high>,<low>,<close>,<vol>
Ata Creativity Global,AACG,20200911,1.08,1.09,1.06,1.06,22700
Artius Acquisition Inc Cl A,AACQ,20200911,10.05,10.1,9.92,9.96,47600
Artius Acquisition Inc Unit,AACQU,20200911,10.36,10.5,10.32,10.49,21300
Artius Acquisition Inc WT,AACQW,20200911,1.99,1.99,1.595,1.6146,316000
American Airlines Gp,AAL,20200911,13.08,13.08,12.68,12.95,43916700
Atlantic Amer Cp,AAME,20200911,2.05,2.05,1.935,1.935,1200
Applied Optoelect,AAOI,20200911,9.88,10.03,9.58,9.7,531200
Aaon Inc,AAON,20200911,56.41,56.9,56,56.46,220200
Apple Inc,AAPL,20200911,114.57,115.23,110,112,180860300
Atlas Air Ww,AAWW,20200911,57.12,57.425,55.94,56.94,350400
All Country Asia Ex Japan Ishares MSCI ETF,AAXJ,20200911,76.74,77,76.15,76.56,963700
Axon Inc,AAXN,20200911,84.95,85.26,83.12,83.91,553500
Ameris Bancorp,ABCB,20200911,23.38,23.51,23.1369,23.48,233700
Abeona Therapeutics,ABEO,20200911,2.06,2.06,1.91,1.92,508300
Arca Biopharma Inc,ABIO,20200911,4.61,4.6308,4.36,4.53,200700
Abiomed Inc,ABMD,20200911,274.76,276.5,266.71,269.77,356600
Allegiance Banc CS,ABTX,20200911,25.14,25.45,24.85,24.87,48800
Arbutus Biopharma Cp,ABUS,20200911,2.42,2.49,2.36,2.37,876300
Acadia Pharmaceutica,ACAD,20200911,36.58,37.22,36.325,36.62,947400
Acamar Partners Acquisition Corp Cl A,ACAM,20200911,10.3,10.3,10.2,10.25,31100
Acamar Partners Acquisition Corp WT,ACAMW,20200911,1.12,1.12,1.05,1.05,4700
Atlantic Capital,ACBI,20200911,11.7,11.72,11.53,11.57,90900
Accolade Inc,ACCD,20200911,34.2,35.35,32.65,32.65,212000
Acer Therapeutics Inc,ACER,20200911,2.26,2.31,2.15,2.16,132300
Ace Convergence Acquisition Corp,ACEVU,20200911,10.045,10.0645,10,10,600
Arch Capital Grp Ltd,ACGL,20200911,31.2,31.35,30.465,30.73,1294500
Arch Capital Group Ltd ADR,ACGLO,20200911,26.55,26.55,26.26,26.26,11100
Arch Capital Group Ltd,ACGLP,20200911,25.7,25.75,25.6194,25.7,17300
Acadia Healthcr Company,ACHC,20200911,28.92,29.96,28.63,29.9,649700
Achieve Life Sciences Inc,ACHV,20200911,8.08,8.33,7.72,7.98,198000
Acacia Communica,ACIA,20200911,68.52,68.64,68.42,68.49,521700
AC Immune S.A.,ACIU,20200911,7.84,7.94,7.68,7.79,145300
Aci Worldwide Inc,ACIW,20200911,23.99,24.84,23.55,24.66,2840900
Axcelis Tech Inc,ACLS,20200911,21.17,21.345,20.4,20.5,399900
Acm Research Inc,ACMR,20200911,64.32,70.1,64.08,66.36,994500
Acnb Corp,ACNB,20200911,21.23,21.87,20.7626,20.88,22900
Acorda Therapeutics,ACOR,20200911,0.4628,0.4705,0.4335,0.45,815800
Aclaris Therapts,ACRS,20200911,2.21,2.2349,2.08,2.16,195900
Acelrx Pharmaceutica,ACRX,20200911,1.15,1.15,1.05,1.07,556100
Acasti Pharma,ACST,20200911,0.2,0.2002,0.1855,0.19,5329400
Advisorshares Vice ETF,ACT,20200911,26.4074,26.4074,26.11,26.395,1500
Acacia Res-Acacia,ACTG,20200911,3.8,3.859,3.74,3.76,108600
ACWI Ishares MSCI ETF,ACWI,20200911,80.17,80.4,79.22,79.8,3274900
ACWI Ex US Ishares MSCI ETF,ACWX,20200911,46.66,46.76,46.31,46.51,1392500
Adaptimmune Ther Ads,ADAP,20200911,8.11,8.259,7.81,7.94,311500
Adobe Systems Inc,ADBE,20200911,487.08,489.41,464.48,471.35,4414200
Advanced Emissions Solutions Inc,ADES,20200911,3.88,3.93,3.83,3.86,247200
Analog Devices,ADI,20200911,115.12,115.79,112.5,113.8,2361800
Adial Pharmaceuticals Inc,ADIL,20200911,1.33,1.4,1.27,1.27,324400
Adma Biologics,ADMA,20200911,2.32,2.3209,2.16,2.24,2262600
Adamis Pharmaceuticl,ADMP,20200911,0.7684,0.7798,0.71,0.7338,1076500
Adamas Pharma,ADMS,20200911,5.08,5.08,4.28,4.3,344400
Automatic Data Procs,ADP,20200911,132.5,133.8,131.38,133.44,1862200
